run_id,response_text,event
1,1713,0
2,1738.,1
3,1713,0
4,1713,0
5,1713,0
6,1738,1
7,1738.,1
8,1713,0
9,1713.,0
10,1713,0
11,1713.,0
12,1713.,0
13,1713.,0
14,1738.,1
15,1713.,0
16,1713,0
17,1713.,0
18,1713.,0
19,1713,0
20,1713,0
21,1713,0
22,1713.,0
23,1713.,0
24,1713.,0
25,1713.,0
26,1738.,1
27,1713,0
28,1713.,0
29,1713.,0
30,1713,0
31,1713.,0
32,1713,0
33,1713,0
34,1713,0
35,1713,0
36,1713,0
37,1713.,0
38,1738.,1
39,1713.,0
40,1713.,0
41,1713.,0
42,1713.,0
43,1713,0
44,1713.,0
45,1713,0
46,1713.,0
47,1713.,0
48,1713,0
49,1713.,0
50,1713.,0
51,1713.,0
52,1713.,0
53,1713,0
54,1713.,0
55,1713,0
56,1713,0
57,1738,1
58,1713.,0
59,1713,0
60,1738.,1
61,1713.,0
62,1713.,0
63,1713.,0
64,1738.,1
65,1713.,0
66,1713,0
67,1713,0
68,1713.,0
69,1713.,0
70,1713,0
71,1713.,0
72,1713.,0
73,1713,0
74,1713,0
75,1713.,0
76,1713,0
77,1713.,0
78,1713,0
79,1713.,0
80,1713.,0
81,1713,0
82,1713.,0
83,1713,0
84,1713,0
85,1713.,0
86,1713,0
87,1713.,0
88,1713.,0
89,1713.,0
90,1713.,0
91,1713.,0
92,1713,0
93,1713,0
94,1713.,0
95,1713,0
96,1713,0
97,1713,0
98,1713,0
99,1713,0
100,1713.,0
101,1713.,0
102,1713,0
103,1713.,0
104,1713.,0
105,1713,0
106,1738,1
107,1713.,0
108,1713,0
109,1713.,0
110,1713,0
111,1713,0
112,1713,0
113,1738,1
114,1738.,1
115,1713,0
116,1713,0
117,1713,0
118,1713,0
119,1713,0
120,1713.,0
121,1713.,0
122,1738.,1
123,1713.,0
124,1713.,0
125,1713,0
126,1713.,0
127,1713.,0
128,1713,0
129,1713.,0
130,1713,0
131,1713.,0
132,1713.,0
133,1713,0
134,1713.,0
135,1713,0
136,1713,0
137,1713.,0
138,1713,0
139,1738.,1
140,1713.,0
141,1713.,0
142,1713.,0
143,1713.,0
144,1713.,0
145,1713.,0
146,1738,1
147,1713,0
148,1713.,0
149,1713.,0
150,1713,0
151,1713,0
152,1713.,0
153,1713.,0
154,1713.,0
155,1713,0
156,1713,0
157,1713.,0
158,1713,0
159,1713.,0
160,1713,0
161,1713.,0
162,1713,0
163,1713,0
164,1713,0
165,1713.,0
166,1713.,0
167,1713,0
168,1713,0
169,1713.,0
170,1713.,0
171,1713,0
172,1713.,0
173,1713.,0
174,1738,1
175,1713,0
176,1713,0
177,1713.,0
178,1713.,0
179,1713,0
180,1713.,0
181,1713.,0
182,1713.,0
183,1738,1
184,1713.,0
185,1738.,1
186,1713.,0
187,1713.,0
188,1713,0
189,1713,0
190,1713.,0
191,1713,0
192,1713.,0
193,1713.,0
194,1713.,0
195,1713,0
196,1713,0
197,1713,0
198,1713.,0
199,1713.,0
200,1713,0
